Label,Probability_0,Probability_1
0,0.967204,0.032796048
0,0.9912691,0.008730891
0,0.9999282,7.180266e-05
0,0.99999887,1.1139144e-06
0,0.97174245,0.028257554
0,0.9388232,0.061176766
0,0.99999994,8.8956284e-08
0,1.0,9.9320205e-17
0,1.0,3.2456215e-23
0,1.0,1.962306e-18
0,0.99999934,6.556978e-07
0,1.0,1.0572038e-08
0,0.9999805,1.9494944e-05
0,0.9851711,0.014828897
0,1.0,1.3262288e-18
1,0.25866783,0.7413322
0,0.94407743,0.055922586
0,1.0,4.5797816e-13
0,0.986237,0.01376303
0,1.0,1.01293716e-10
0,0.99999976,2.656967e-07
0,0.9996806,0.00031943436
0,0.97805107,0.021948956
1,0.066830575,0.9331694
1,0.14912468,0.8508753
0,0.9983337,0.0016662873
0,1.0,2.9809686e-20
0,0.99999994,8.034247e-08
1,0.2554977,0.7445023
0,1.0,2.3546823e-14
0,0.99999505,4.949293e-06
0,1.0,4.4021196e-15
0,0.99959284,0.0004071749
0,1.0,1.3547594e-10
0,1.0,1.1462861e-09
0,1.0,1.4425114e-09
0,1.0,1.117283e-32
0,0.9988361,0.0011638824
0,0.9999674,3.2616554e-05
0,0.72646105,0.27353892
0,0.9911747,0.008825297
0,0.99992317,7.684507e-05
0,1.0,8.949005e-10
0,1.0,5.545184e-13
0,0.99369544,0.0063045654
0,0.99996734,3.2681786e-05
0,0.99934924,0.00065077556
0,0.99999994,5.1844104e-08
0,1.0,9.375672e-28
0,1.0,5.964144e-17
0,1.0,8.280417e-19
1,0.33952308,0.6604769
0,1.0,2.1379247e-20
0,0.5646301,0.4353699
0,0.9628837,0.037116293
0,0.999994,6.018864e-06
0,1.0,1.8802722e-22
0,1.0,2.0900686e-32
0,1.0,6.405384e-09
0,0.9818265,0.018173516
0,1.0,1.557284e-38
0,1.0,1.2507688e-23
0,0.9999606,3.9376926e-05
0,0.99999946,5.4539976e-07
0,0.99996626,3.373655e-05
0,1.0,0.0
0,0.99999994,4.065257e-08
0,1.0,2.5507354e-16
0,1.0,3.9288746e-11
0,0.9997302,0.00026978712
0,1.0,1.4704687e-24
0,1.0,9.847862e-15
0,0.9989248,0.0010752068
0,1.0,4.5223253e-21
0,1.0,7.002735e-22
0,1.0,6.1865925e-29
0,0.9953572,0.004642758
1,0.36542952,0.6345705
0,0.99539644,0.004603564
0,0.9997757,0.00022428397
0,1.0,0.0
0,0.98905957,0.010940438
0,1.0,7.3030855e-14
0,1.0,1.124726e-28
0,0.998101,0.0018989996
0,0.9780036,0.021996401
0,1.0,1.8682579e-10
0,0.99999994,4.9178077e-08
0,1.0,4.626247e-30
0,0.99991643,8.354972e-05
0,0.9999985,1.462504e-06
0,1.0,1.5879485e-10
0,0.88545597,0.11454401
0,0.99999994,3.598391e-08
0,0.99999994,7.064334e-08
0,1.0,1.1803322e-27
0,0.99985045,0.00014957333
0,0.9913048,0.008695183
0,1.0,6.3881685e-20
0,0.99995685,4.313144e-05
1,0.32615948,0.6738405
0,1.0,6.4300965e-28
0,0.9937485,0.0062515005
0,1.0,2.4229772e-14
0,1.0,1.8627098e-11
0,1.0,1.614251e-10
0,1.0,1.277538e-10
0,0.99890536,0.0010946306
0,0.9999909,9.122224e-06
0,0.99884915,0.0011508282
0,0.9998198,0.00018020284
0,1.0,7.867782e-12
0,0.9964574,0.0035425941
0,0.9740974,0.02590264
0,0.9999248,7.5198215e-05
0,0.99983776,0.00016226042
0,1.0,2.0545596e-09
0,0.9992767,0.0007233035
0,1.0,5.7507794e-09
0,1.0,6.125968e-25
0,0.99967617,0.0003238496
0,1.0,8.723509e-11
0,0.9999986,1.3847477e-06
0,1.0,1.0767364e-26
0,0.99142027,0.008579757
0,0.99999875,1.2732125e-06
0,0.9999999,1.3348303e-07
0,0.56441617,0.43558386
0,1.0,3.1752866e-14
0,0.99991244,8.754816e-05
0,0.99826825,0.0017317663
0,0.99999505,4.962077e-06
0,0.99999756,2.4344715e-06
0,1.0,1.1641198e-09
0,1.0,2.3707912e-08
0,1.0,1.6768922e-09
0,0.9999981,1.921321e-06
0,0.99997115,2.8867276e-05
0,0.999794,0.00020597635
0,1.0,2.3331193e-30
0,0.9864081,0.013591897
0,0.9999974,2.6398225e-06
0,0.9839193,0.016080655
0,0.99999976,2.1905613e-07
0,1.0,9.906262e-15
0,0.98408586,0.01591414
0,0.9993792,0.0006208112
0,0.98794425,0.0120557435
0,0.9999969,3.110535e-06
0,0.99999976,2.1862743e-07
0,0.99999934,6.623693e-07
0,0.9999885,1.1503118e-05
0,0.9914096,0.008590423
0,0.99043083,0.009569165
0,1.0,0.0
0,0.73242366,0.26757634
0,1.0,8.052956e-25
0,0.9273636,0.07263642
0,1.0,4.7590553e-11
0,1.0,1.7147135e-14
0,0.9999995,4.7962834e-07
0,0.91800135,0.08199866
0,1.0,1.61457e-15
0,0.9884505,0.011549458
0,0.9999862,1.3841027e-05
0,1.0,1.4846095e-10
0,0.93849766,0.06150231
0,0.99999505,4.9481364e-06
0,0.9999964,3.574672e-06
0,0.99759525,0.0024047475
0,1.0,4.8213405e-10
0,1.0,0.0
0,0.9997724,0.00022754332
0,1.0,2.3544603e-08
0,1.0,2.4304218e-31
0,1.0,3.5888724e-18
0,0.9999999,1.4226035e-07
0,1.0,0.0
0,0.99929327,0.0007067345
0,0.99965054,0.00034947673
0,0.9972899,0.002710086
0,1.0,2.0432515e-11
0,0.99999994,5.65502e-08
0,0.7632401,0.23675987
0,1.0,3.7774305e-23
0,0.9929233,0.007076693
0,0.9999976,2.402388e-06
0,0.999958,4.2026168e-05
0,0.99999976,2.2281367e-07
0,1.0,1.0542855e-24
0,0.98200023,0.01799977
0,1.0,6.09119e-10
0,1.0,1.7660582e-08
0,0.999818,0.0001819848
0,1.0,8.811247e-38
0,0.9999848,1.5199053e-05
0,1.0,3.3398758e-13
0,1.0,1.2998398e-12
0,0.99495006,0.0050499425
0,0.9999931,6.931867e-06
0,0.99999064,9.3869885e-06
0,1.0,2.1272967e-08
0,0.9910115,0.00898847
0,0.999895,0.0001050346
0,0.99970883,0.00029118426
0,0.999999,1.0026096e-06
0,0.99954647,0.00045354958
0,0.99937296,0.00062706944
0,0.9614982,0.038501807
0,0.99999857,1.4039022e-06
0,0.9399042,0.060095783
0,1.0,1.0286076e-11
0,0.9996008,0.00039915144
0,0.9957317,0.0042682807
0,1.0,5.3617057e-17
0,0.99999994,3.231858e-08
0,1.0,6.341144e-19
0,0.9945566,0.005443378
0,1.0,1.1067484e-20
0,1.0,1.6365903e-22
0,0.9875231,0.012476949
0,0.9981137,0.001886331
0,0.99972767,0.00027231398
0,1.0,1.4938235e-18
0,0.9999971,2.9055718e-06
0,0.99951446,0.00048556016
0,0.99999994,4.6223903e-08
0,1.0,2.199796e-22
0,0.99999624,3.7545174e-06
0,0.9995135,0.00048647422
0,1.0,4.4084306e-11
0,0.9957925,0.0042075044
0,1.0,5.5555024e-14
0,0.99999994,3.0690853e-08
0,0.99952036,0.0004796444
0,0.9999532,4.6784156e-05
0,0.9999996,4.2226583e-07
0,0.99985373,0.0001462478
0,1.0,1.6295577e-21
0,1.0,7.6736733e-16
0,0.99925977,0.00074025086
0,0.99975944,0.00024057705
1,0.30367708,0.6963229
0,0.99836063,0.0016393939
0,1.0,1.1715465e-16
0,0.9995741,0.00042587382
0,0.98812324,0.011876785
0,1.0,1.5587342e-23
0,1.0,1.1586301e-10
0,0.99994344,5.657498e-05
0,0.99312645,0.0068735657
0,0.9923172,0.0076827896
0,1.0,1.07596016e-19
0,0.99993503,6.499029e-05
0,1.0,1.8912842e-31
0,0.9999986,1.3518757e-06
0,0.9991402,0.00085982017
0,1.0,7.866744e-39
0,0.9999999,9.717731e-08
0,0.9999999,1.0869277e-07
0,1.0,1.19825176e-35
0,0.8615679,0.1384321
0,0.9993038,0.0006961587
0,1.0,4.6352615e-09
0,1.0,4.4709454e-09
0,0.9998237,0.00017629187
0,0.9995703,0.00042968578
0,0.99999815,1.855134e-06
0,1.0,6.0430584e-11
0,1.0,2.0761259e-14
0,0.9999912,8.801176e-06
0,0.8671524,0.1328476
0,1.0,2.6066294e-29
0,0.9919188,0.008081202
0,0.9999997,3.0196577e-07
0,0.9977298,0.0022701966
0,0.99903786,0.0009621466
0,1.0,1.0637359e-14
0,0.9349071,0.06509289
0,0.7437103,0.2562897
0,0.821651,0.178349
0,0.9999995,4.90605e-07
0,1.0,3.6548808e-13
0,0.9999999,9.993671e-08
0,0.99999857,1.4357605e-06
1,0.49111176,0.50888824
0,1.0,1.6772031e-12
0,0.9971457,0.0028543153
0,0.9998004,0.00019963812
0,1.0,2.5269222e-30
0,0.9973966,0.0026034405
0,0.91954446,0.08045551
0,1.0,7.139814e-15
0,0.99857646,0.0014235121
0,1.0,2.3919426e-09
0,1.0,0.0
0,1.0,2.985715e-12
0,1.0,3.499908e-12
0,0.99999976,2.3534668e-07
0,0.9988854,0.001114633
0,0.9996412,0.00035879496
0,0.9999794,2.064371e-05
0,0.9673992,0.032600813
0,0.9999659,3.4084638e-05
0,1.0,0.0
0,1.0,3.6657972e-22
0,1.0,2.1737174e-09
0,1.0,1.2613983e-09
0,0.9997693,0.00023075302
0,0.94760835,0.05239163
0,0.98088855,0.019111434
0,1.0,4.0553828e-12
0,0.91726273,0.08273725
0,1.0,2.105314e-23
1,0.0917837,0.9082163
0,1.0,0.0
0,0.9992269,0.0007730449
0,1.0,0.0
0,1.0,1.5443151e-10
0,1.0,3.9471585e-25
0,1.0,5.2591383e-19
0,0.99717414,0.0028258383
0,0.9999994,6.156399e-07
0,0.99520105,0.004798948
0,0.9998969,0.00010314332
0,1.0,2.313175e-19
0,1.0,3.45052e-39
0,0.60391414,0.3960859
0,0.9999904,9.574155e-06
1,0.44499344,0.55500656
0,1.0,5.4674624e-22
0,1.0,3.6742147e-09
0,1.0,9.54575e-11
0,0.9998556,0.00014441277
0,0.9866575,0.013342525
0,1.0,3.3162083e-15
0,0.99970144,0.0002985516
0,1.0,2.7695767e-25
0,1.0,9.4685145e-12
0,0.96762216,0.032377847
0,0.99999994,2.999872e-08
0,1.0,1.0814575e-08
0,1.0,3.6102943e-10
0,0.81963253,0.18036747
0,1.0,1.254496e-08
0,0.90694815,0.093051866
0,1.0,1.2795679e-12
0,0.99990135,9.865805e-05
0,0.9855246,0.01447543
0,0.9999999,9.419071e-08
0,0.99864,0.0013599731
0,0.9999993,6.903591e-07
0,1.0,5.110461e-24
0,0.99880666,0.0011933459
0,0.999992,7.958967e-06
0,0.99997723,2.2762195e-05
0,0.99999994,5.0391662e-08
0,0.99998915,1.08693575e-05
0,1.0,1.02226165e-17
0,1.0,3.1641694e-21
0,0.9996812,0.0003188526
0,0.9994138,0.0005862184
0,0.99926764,0.00073237665
0,1.0,1.4017936e-24
0,1.0,2.7320748e-13
0,0.9991796,0.0008204252
0,0.9996938,0.00030619695
0,1.0,1.311509e-09
0,0.9975459,0.0024540867
0,1.0,2.2920607e-10
0,0.9978705,0.0021295159
0,0.9999809,1.9075105e-05
0,0.9999722,2.7752154e-05
0,1.0,5.573129e-11
0,1.0,2.3704066e-12
0,0.9999994,6.0594624e-07
0,1.0,1.2982293e-23
0,0.9722257,0.027774267
0,0.99612314,0.0038768526
0,1.0,1.8131582e-22
0,0.995377,0.0046229856
0,0.9995751,0.00042494066
0,1.0,1.9151721e-29
0,0.9999893,1.0718688e-05
0,1.0,5.8770246e-09
0,0.9996493,0.00035071364
0,0.9999994,6.136101e-07
